CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
USA,2021,17,b,579,16281,12519,14200,16103,59682,0.000496033345654723,0.0039227973988083,0.0194067496792548,0.0453715581739249,0.136775464977888,0.00933493314238181,0,0,0
USA,2021,18,m,333,10388,7113,7186,6226,31246,0.000557570186032119,0.00498566701946041,0.0234094433297896,0.0519704457113112,0.144619103695095,0.00986929597525998,0,0,0
USA,2021,18,f,245,6075,5111,6564,9648,27643,0.000429804950930989,0.00293935240703016,0.0149780310076975,0.037572873858605,0.129187612212427,0.00856503653549926,0,0,0
USA,2021,18,b,578,16463,12224,13750,15874,58889,0.000495176638667409,0.00396664907417118,0.0189494454891933,0.0439337271050329,0.134830387571197,0.00921089906205761,0,0,0
USA,2021,19,m,337,10390,6936,7090,6090,30843,0.000564267725804277,0.00498662690914456,0.0228269223865346,0.051276156428221,0.141460061275799,0.00974200524114906,0,0,0
USA,2021,19,f,262,5831,5177,6689,9529,27488,0.000459628151607833,0.00282129446673134,0.015171447178018,0.0382883841011897,0.127594191207734,0.00851701060983987,0,0,0
USA,2021,19,b,599,16221,12113,13779,15619,58331,0.000513167485401,0.00390834080253482,0.0187773750990345,0.0440263873294727,0.132664471681651,0.00912362161335534,0,0,0
USA,2021,20,m,345,10166,7009,7134,6097,30751,0.000577662805348592,0.00487911926452008,0.0230671711371426,0.0515943723496373,0.141622659047381,0.00971294631425525,0,0,0
USA,2021,20,f,245,5963,5270,6730,9674,27882,0.000429804950930989,0.00288516187705693,0.0154439881452878,0.0385230714607574,0.129535754616814,0.00863908941441922,0,0,0
USA,2021,20,b,590,16129,12279,13864,15771,58633,0.000505457122515176,0.00388617402158215,0.0190347055924251,0.0442979776424856,0.133955527427577,0.00917085779526947,0,0,0
USA,2021,21,m,296,10108,6739,6972,6037,30152,0.000495617943139661,0.00485128246367981,0.0221785798677706,0.0504227591844227,0.140228963862397,0.00952374743154448,0,0,0
